100_50.out ,  'infinite'
101_100.out ,  397.3333333333333
101_50.out ,  118.66666666666667
103_50.out ,  616.9423333333334
104_100.out ,  36149.333333333336
104_50.out ,  19311.333333333332
105_200.out ,  2897.43365
105_50.out ,  506.29005333333316
106_50.out ,  'infinite'
108_100.out ,  7098380344.0
108_50.out ,  3476017713.0
109_50.out ,  1906250875.36466
10_50.out ,  31.88699999999999
111_100.out ,  127.33333333333333
111_50.out ,  942.5468033333333
112_100.out ,  27.87466666666665
112_50.out ,  15.497333333333334
113_50.out ,  408.0
114_50.out ,  13246272.0
115_100.out ,  180.33333333333334
115_50.out ,  79.33333333333333
116_50.out ,  3555.3333333333335
117_100.out ,  3876.0
117_50.out ,  1090.6666666666667
118_50.out ,  187780929.42832333
11_50.out ,  978833.3333333334
120_200.out ,  133.33333333333334
120_50.out ,  47.333333333333336
121_50.out ,  219.0
122_100.out ,  52829484.666666664
122_50.out ,  22698283.666666668
123_200.out ,  99428.0
123_50.out ,  14000.333333333334
124_50.out ,  11004575.0
126_50.out ,  5000250075.0
127_100.out ,  1342.6666666666667
127_50.out ,  574.0
128_100.out ,  22400866926.90783
128_50.out ,  14805390384.209938
12_50.out ,  528.6666666666667
130_50.out ,  27332559754.0
131_50.out ,  161691619.26972666
132_50.out ,  6436.133333333334
133_50.out ,  3297708879.1236267
134_100.out ,  54.666666666666664
134_50.out ,  50.0
135_50.out ,  135.0
136_50.out ,  25.0
137_100.out ,  24415.0
137_50.out ,  19273.0
140_50.out ,  'infinite'
141_100.out ,  289.3333333333333
141_50.out ,  289.3333333333333
142_50.out ,  'infinite'
145_50.out ,  'infinite'
146_50.out ,  13.313726666666666
147_50.out ,  'infinite'
148_100.out ,  9.0
148_50.out ,  15.0
149_100.out ,  1082.0
149_50.out ,  584.0
14_50.out ,  22097.08143333334
151_50.out ,  34.666666666666664
153_100.out ,  'infinite'
153_50.out ,  'infinite'
154_50.out ,  750.0
155_50.out ,  3738.0
156_50.out ,  16795529229.150362
157_100.out ,  2333.2470733333334
157_50.out ,  1849.3520799999997
15_50.out ,  17813394593.301426
160_50.out ,  122.0
161_100.out ,  122.66666666666667
161_50.out ,  56.333333333333336
163_50.out ,  4854225061.960987
164_50.out ,  'infinite'
165_50.out ,  69.13999999999997
166_50.out ,  11.9
168_50.out ,  18175.201333333338
169_100.out ,  99322039647.8849
169_50.out ,  30472863423.393383
16_100.out ,  3553.6666666666665
16_50.out ,  40.0
171_100.out ,  33182807120.013157
171_50.out ,  29204484838.10464
172_100.out ,  11973.333333333334
172_50.out ,  26026.666666666668
173_100.out ,  207733347657.11655
173_50.out ,  76000005242.28516
174_100.out ,  4912.214213333331
174_50.out ,  1380.8603000000003
175_50.out ,  24812758222.00371
177_100.out ,  23970.666666666668
177_50.out ,  4372.0
178_100.out ,  21676990426.666668
