node0 node1 node5 node4 node6 node4 node2 node0 node42 node43 node47 node46 node48 node46 node45 node43 node42 node0 node7 node14 node15 node20 node18 node19 node18 node17 node15 node14 node21 node22 node27 node25 node26 node25 node24 node22 node21 node28 node35 node36 node41 node39 node40 node39 node38 node36 node35 node28 node29 node34 node32 node33 node32 node31 node29 node28 node35 node42 node0 node7 node8 node13 node11 node12 node11 node10 node8 node7 node0 
21
node0 node3
node5 node5
node6 node6
node47 node47
node48 node48
node45 node45
node20 node20
node19 node19
node17 node17
node27 node27
node26 node26
node24 node24
node41 node41
node40 node40
node38 node38
node34 node34
node33 node33
node31 node31
node13 node13
node12 node12
node10 node10
