(DROPOFF TA_XSanchez XHershberger)
(WALK TA_XSanchez XHershberger XMorales)
(WALK TA_XSanchez XMorales XDison)
(WALK TA_XSanchez XDison XTaylor)
(WALK TA_XSanchez XTaylor XFolsom)
(WALK TA_XSanchez XFolsom XRachel)
(WALK TA_XSanchez XRachel XManzi)
(WALK TA_XSanchez XManzi XTorrez)
(WALK TA_XSanchez XTorrez XParks)
(WALK TA_XSanchez XParks XGuerra)
(WALK TA_XSanchez XGuerra XMorris)
(WALK TA_XSanchez XMorris XFord)
(WALK TA_XSanchez XFord XBrewer)
(WALK TA_XSanchez XBrewer XRossi)
(WALK TA_XSanchez XRossi XScalise)
(WALK TA_XSanchez XScalise XRodgers)
(WALK TA_XSanchez XRodgers XWilliams)
(WALK TA_XSanchez XWilliams XLawson)
(WALK TA_XSanchez XLawson XWheeler)
(WALK TA_XSanchez XWheeler XNeal)
(WALK TA_XSanchez XNeal XLewis)
(WALK TA_XSanchez XLewis XMcclain)
(WALK TA_XSanchez XMcclain XKerr)
(WALK TA_XSanchez XKerr XBurke)
(WALK TA_XSanchez XBurke XDanger)
(WALK TA_XSanchez XDanger XHigginbotham)
(WALK TA_XSanchez XHigginbotham XOwens)
(WALK TA_XSanchez XOwens XMohr)
(WALK TA_XSanchez XMohr XHughes)
(WALK TA_XSanchez XHughes XHill)
(WALK TA_XSanchez XHill XSherman)
(WALK TA_XSanchez XSherman XWorstell)
(WALK TA_XSanchez XWorstell XJones)
(WALK TA_XSanchez XJones XHolderman)
(WALK TA_XSanchez XHolderman XHenry)
(WALK TA_XSanchez XHenry XPadgett)
(WALK TA_XSanchez XPadgett XMorgan)
(WALK TA_XSanchez XMorgan XBean)
(WALK TA_XSanchez XBean XWashington)
(WALK TA_XSanchez XWashington XSmith)
(WALK TA_XSanchez XSmith XVirtue)
(WALK TA_XSanchez XVirtue XPatterson)
(WALK TA_XSanchez XPatterson XPerrault)
(WALK TA_XSanchez XPerrault XBaker)
(WALK TA_XSanchez XBaker XHannon)
(WALK TA_XSanchez XHannon XDuckey)
(WALK TA_XSanchez XDuckey XPenrod)
(WALK TA_XSanchez XPenrod XWalker)
(WALK TA_XSanchez XWalker XJoy)
(WALK TA_XSanchez XJoy XWallace)
(WALK TA_XSanchez XWallace XCork)
(WALK TA_XSanchez XCork XHosle)
(WALK TA_XSanchez XHosle XCourtney)
(WALK TA_XSanchez XCourtney XMedina)
(WALK TA_XSanchez XMedina XRivers)
(WALK TA_XSanchez XRivers XCarroll)
(WALK TA_XSanchez XCarroll XDominguez)
