(DROPOFF TA_XNunez XBooth)
(WALK TA_XNunez XBooth XWebb)
(WALK TA_XNunez XWebb XPhipps)
(WALK TA_XNunez XPhipps XVolz)
(WALK TA_XNunez XVolz XAcuff)
(WALK TA_XNunez XAcuff XGale)
(WALK TA_XNunez XGale XBell)
(WALK TA_XNunez XBell XScofield)
(WALK TA_XNunez XScofield XWare)
(WALK TA_XNunez XWare XCrain)
(WALK TA_XNunez XCrain XMondesir)
(WALK TA_XNunez XMondesir XWhite)
(WALK TA_XNunez XWhite XValdez)
(WALK TA_XNunez XValdez XKrul)
(WALK TA_XNunez XKrul XCorey)
(WALK TA_XNunez XCorey XTrimarchi)
(WALK TA_XNunez XTrimarchi XRoy)
(WALK TA_XNunez XRoy XHogans)
(WALK TA_XNunez XHogans XBray)
(WALK TA_XNunez XBray XCosta)
(WALK TA_XNunez XCosta XBlack)
(WALK TA_XNunez XBlack XBurns)
(WALK TA_XNunez XBurns XGrose)
(WALK TA_XNunez XGrose XBoyd)
(WALK TA_XNunez XBoyd XTerry)
(WALK TA_XNunez XTerry XDavis)
(WALK TA_XNunez XDavis XVann)
(WALK TA_XNunez XVann XMachenry)
(WALK TA_XNunez XMachenry XBurroughs)
(WALK TA_XNunez XBurroughs XJarrette)
(WALK TA_XNunez XJarrette XSung)
(WALK TA_XNunez XSung XNorwood)
(WALK TA_XNunez XNorwood XBradley)
(WALK TA_XNunez XBradley XCurry)
(WALK TA_XNunez XCurry XBurditt)
(WALK TA_XNunez XBurditt XWhitmore)
(WALK TA_XNunez XWhitmore XBeebe)
(WALK TA_XNunez XBeebe XPoirrier)
(WALK TA_XNunez XPoirrier XReed)
(WALK TA_XNunez XReed XLynn)
(WALK TA_XNunez XLynn XLy)
(HOMESAFE TA_XNunez Xly)
(DROPOFF TA_XRodriguez XBooth)
(WALK TA_XRodriguez XBooth XWebb)
(WALK TA_XRodriguez XWebb XPhipps)
(WALK TA_XRodriguez XPhipps XVolz)
(WALK TA_XRodriguez XVolz XAcuff)
(WALK TA_XRodriguez XAcuff XGale)
(WALK TA_XRodriguez XGale XBell)
(WALK TA_XRodriguez XBell XScofield)
(WALK TA_XRodriguez XScofield XWare)
(WALK TA_XRodriguez XWare XCrain)
(WALK TA_XRodriguez XCrain XMondesir)
(WALK TA_XRodriguez XMondesir XWhite)
(WALK TA_XRodriguez XWhite XValdez)
(WALK TA_XRodriguez XValdez XKrul)
(WALK TA_XRodriguez XKrul XCorey)
(WALK TA_XRodriguez XCorey XTrimarchi)
(WALK TA_XRodriguez XTrimarchi XRoy)
(WALK TA_XRodriguez XRoy XHogans)
(WALK TA_XRodriguez XHogans XBray)
